run_timestamp,bug,dataset,stage,input_type,duration_s,gpu_energy_j,codecarbon_energy_kwh,codecarbon_co2_kg
2026-08-11T07:42:52,Closure-125,Defects4J,SR,bug_report,3507.474,1459727.28,0.482768,0.224287
2026-08-11T07:42:52,Closure-126,Defects4J,SR,bug_report,3669.726,1263551.211,0.439839,0.204343
2026-08-11T07:42:52,Closure-127,Defects4J,SR,bug_report,3881.154,1592268.757,0.54003,0.250891
2026-08-11T07:42:52,Closure-128,Defects4J,SR,bug_report,3495.251,1449680.994,0.479261,0.222658
2026-08-11T07:42:52,Closure-129,Defects4J,SR,bug_report,3530.684,1455728.958,0.481807,0.223841
2026-08-11T07:42:52,Closure-13,Defects4J,SR,bug_report,3485.931,1442599.442,0.477118,0.221662
2026-08-11T07:42:52,Closure-130,Defects4J,SR,bug_report,3536.205,1445330.333,0.478878,0.22248
2026-08-11T07:42:52,Closure-131,Defects4J,SR,bug_report,3481.67,1435891.809,0.47553,0.220925
2026-08-11T21:24:33,Closure-132,Defects4J,SR,bug_report,3507.342,1427218.357,0.06606,0.030691
2026-08-11T21:24:33,Closure-134,Defects4J,SR,bug_report,14064.115,5757136.807,1.907876,0.886373
2026-08-11T21:24:33,Closure-135,Defects4J,SR,bug_report,9830.319,4049919.188,1.341333,0.623165
2026-08-11T21:24:33,Closure-136,Defects4J,SR,bug_report,6338.623,2600506.684,0.861667,0.400318
2026-08-11T21:24:33,Closure-137,Defects4J,SR,bug_report,6348.566,2615072.643,0.86624,0.402443
2026-08-12T11:50:57,Closure-138,Defects4J,SR,bug_report,6802.131,2629009.351,0.153544,0.071334
2026-08-12T11:50:57,Closure-139,Defects4J,SR,bug_report,6338.191,2614692.615,0.865115,0.40192
2026-08-12T11:50:57,Closure-14,Defects4J,SR,bug_report,3500.033,1421963.516,0.471269,0.218945
2026-08-12T11:50:57,Closure-140,Defects4J,SR,bug_report,6356.905,2621310.852,0.867445,0.403003
2026-08-12T11:50:57,Closure-141,Defects4J,SR,bug_report,6367.149,2621034.745,0.867714,0.403128
2026-08-12T11:50:57,Closure-142,Defects4J,SR,bug_report,6362.307,2627532.184,0.869226,0.40383
2026-08-12T11:50:57,Closure-143,Defects4J,SR,bug_report,6365.195,2601850.842,0.861875,0.400415
2026-08-13T05:50:09,Closure-144,Defects4J,SR,bug_report,6500.293,2682088.716,0.122307,0.056822
2026-08-13T05:50:09,Closure-145,Defects4J,SR,bug_report,6494.386,2657109.712,0.879884,0.408782
2026-08-13T05:50:09,Closure-146,Defects4J,SR,bug_report,6517.016,2657178.813,0.880858,0.409234
2026-08-14T06:20:16,Closure-147,Defects4J,SR,bug_report,2405.311,60166.005,0.074572,0.034645
2026-08-14T06:20:16,Closure-148,Defects4J,SR,bug_report,2414.458,60225.847,0.147151,0.068364
2026-08-14T06:20:16,Closure-149,Defects4J,SR,bug_report,2258.478,56165.977,0.137368,0.063819
2026-08-14T06:20:16,Closure-15,Defects4J,SR,bug_report,1707.251,42236.84,0.105221,0.048884
2026-08-14T06:20:16,Closure-150,Defects4J,SR,bug_report,2239.255,55655.811,0.136107,0.063233
2026-08-14T06:20:16,Closure-151,Defects4J,SR,bug_report,2297.962,57064.313,0.139868,0.064981
2026-08-14T06:20:16,Closure-152,Defects4J,SR,bug_report,2302.965,57536.879,0.140133,0.065104
2026-08-15T05:31:52,Closure-153,Defects4J,SR,bug_report,2296.572,57112.548,0.070894,0.032936
2026-08-15T05:31:52,Closure-154,Defects4J,SR,bug_report,2426.684,60477.961,0.105523,0.049025
2026-08-15T05:31:52,Closure-155,Defects4J,SR,bug_report,1936.988,48258.671,0.083224,0.038665
2026-08-15T05:31:52,Closure-156,Defects4J,SR,bug_report,2269.612,56521.342,0.098369,0.045701
2026-08-15T05:31:52,Closure-157,Defects4J,SR,bug_report,2158.124,54026.706,0.093165,0.043283
2026-08-15T05:31:52,Closure-158,Defects4J,SR,bug_report,2156.657,53929.539,0.093051,0.04323
2026-08-15T05:31:52,Closure-159,Defects4J,SR,bug_report,2353.966,58302.142,0.101867,0.047326
2026-08-15T05:31:52,Closure-16,Defects4J,SR,bug_report,1705.038,42408.691,0.074861,0.034779
2026-08-16T05:28:13,Closure-160,Defects4J,SR,bug_report,2391.578,59404.217,0.074085,0.034419
2026-08-16T05:28:13,Closure-161,Defects4J,SR,bug_report,2197.948,54162.391,0.094298,0.04381
2026-08-16T05:28:13,Closure-162,Defects4J,SR,bug_report,2206.519,54994.219,0.094698,0.043995
2026-08-16T05:28:13,Closure-163,Defects4J,SR,bug_report,1338.07,33512.071,0.058336,0.027102
2026-08-16T05:28:13,Closure-164,Defects4J,SR,bug_report,1351.985,33362.348,0.058622,0.027235
2026-08-16T05:28:13,Closure-165,Defects4J,SR,bug_report,1714.979,42712.71,0.075131,0.034905
2026-08-16T05:28:13,Closure-166,Defects4J,SR,bug_report,1719.736,42760.656,0.075473,0.035064
2026-08-16T05:28:13,Closure-167,Defects4J,SR,bug_report,1720.474,42818.066,0.075435,0.035046
2026-08-16T05:28:13,Closure-168,Defects4J,SR,bug_report,1727.255,42715.317,0.075517,0.035084
2026-08-16T05:28:13,Closure-169,Defects4J,SR,bug_report,2215.191,54664.823,0.09483,0.044057
2026-08-16T05:28:13,Closure-17,Defects4J,SR,bug_report,1723.151,42577.128,0.075365,0.035014
2026-08-16T05:28:13,Closure-170,Defects4J,SR,bug_report,2222.151,55055.57,0.095532,0.044383
2026-08-16T05:28:13,Closure-171,Defects4J,SR,bug_report,2233.2,55188.248,0.096033,0.044615
2026-08-16T05:28:13,Closure-172,Defects4J,SR,bug_report,2232.715,55041.453,0.095857,0.044534
2026-08-16T05:28:13,Closure-173,Defects4J,SR,bug_report,2232.59,55075.936,0.095694,0.044458
2026-08-16T05:28:13,Closure-174,Defects4J,SR,bug_report,2236.78,55382.514,0.095967,0.044585
